bootstrap_id	Method	Metric	Value
33	Complete Hi-C clique	AUPRC	0.5871882837779678
33	Complete Hi-C clique	Precision	0.9870929308975377
33	Complete Hi-C clique	Recall	0.12986119577143454
33	Complete Hi-C clique	F1	0.22952611084604374
34	SGMCI	AUROC	0.8417980243769508
34	SGMCI	AUPRC	0.8376151251455728
34	SGMCI	Precision	0.6277036458042544
34	SGMCI	Recall	0.9790139152545325
34	SGMCI	F1	0.7649516240967791
34	Complete Hi-C clique	AUROC	0.5653550287241979
34	Complete Hi-C clique	AUPRC	0.588457392046934
34	Complete Hi-C clique	Precision	0.9869154035496825
34	Complete Hi-C clique	Recall	0.13267385360246609
34	Complete Hi-C clique	F1	0.23390340507844887
35	SGMCI	AUROC	0.8430510112260929
35	SGMCI	AUPRC	0.8398913027143458
35	SGMCI	Precision	0.6287984621746371
35	SGMCI	Recall	0.9798672913147216
35	SGMCI	F1	0.7660249428166866
35	Complete Hi-C clique	AUROC	0.5648568579931539
35	Complete Hi-C clique	AUPRC	0.5880062520330832
35	Complete Hi-C clique	Precision	0.9871351139554627
35	Complete Hi-C clique	Recall	0.13162890332468347
35	Complete Hi-C clique	F1	0.23228403930818817
36	SGMCI	AUROC	0.8425864005906338
36	SGMCI	AUPRC	0.8390009502557483
36	SGMCI	Precision	0.6298184259855076
36	SGMCI	Recall	0.9801459447221303
36	SGMCI	F1	0.7668666305573439
36	Complete Hi-C clique	AUROC	0.5646133348445322
36	Complete Hi-C clique	AUPRC	0.5877450997571537
36	Complete Hi-C clique	Precision	0.9865784994107634
36	Complete Hi-C clique	Recall	0.13121963113255194
36	Complete Hi-C clique	F1	0.23163121003443188
37	SGMCI	AUROC	0.8412575513455287
37	SGMCI	AUPRC	0.8364290282577357
37	SGMCI	Precision	0.6294497115513618
37	SGMCI	Recall	0.9805203852383357
37	SGMCI	F1	0.7667077480372864
37	Complete Hi-C clique	AUROC	0.5641947575676972
37	Complete Hi-C clique	AUPRC	0.5874119609258667
37	Complete Hi-C clique	Precision	0.9875198098256736
37	Complete Hi-C clique	Recall	0.13022692836865846
37	Complete Hi-C clique	F1	0.23010878429320983
38	SGMCI	AUROC	0.84175346784793
38	SGMCI	AUPRC	0.8373241517294581
38	SGMCI	Precision	0.6300757266229732
38	SGMCI	Recall	0.9802939793448162
38	SGMCI	F1	0.7671026585396601
38	Complete Hi-C clique	AUROC	0.563820705877996
38	Complete Hi-C clique	AUPRC	0.5869614760429476
38	Complete Hi-C clique	Precision	0.9858381311627291
38	Complete Hi-C clique	Recall	0.1297218690677302
38	Complete Hi-C clique	F1	0.22927456155876536
39	SGMCI	AUROC	0.8425861703677558
39	SGMCI	AUPRC	0.8387965479642877
39	SGMCI	Precision	0.6291863487715571
39	SGMCI	Recall	0.9800936972082411
39	SGMCI	F1	0.7663819312753852
39	Complete Hi-C clique	AUROC	0.5652836641188229
39	Complete Hi-C clique	AUPRC	0.5885110668860631
39	Complete Hi-C clique	Precision	0.9888642875748893
39	Complete Hi-C clique	Recall	0.13222974973440846
39	Complete Hi-C clique	F1	0.23326727806196906
40	SGMCI	AUROC	0.8401986824249289
40	SGMCI	AUPRC	0.8362561651542493
40	SGMCI	Precision	0.6286444412136395
40	SGMCI	Recall	0.9789703756596249
40	SGMCI	F1	0.7656364924133047
40	Complete Hi-C clique	AUROC	0.5634660074709296
40	Complete Hi-C clique	AUPRC	0.5866109610815582
40	Complete Hi-C clique	Precision	0.985503391408432
40	Complete Hi-C clique	Recall	0.12905135930615302
40	Complete Hi-C clique	F1	0.22821768456065789
41	SGMCI	AUROC	0.8418120873164754
41	SGMCI	AUPRC	0.8371380327931757
41	SGMCI	Precision	0.629105332253289
41	SGMCI	Recall	0.980624880266114
41	SGMCI	F1	0.7664841428926331
41	Complete Hi-C clique	AUROC	0.5642094304560489
41	Complete Hi-C clique	AUPRC	0.5873713285737723
41	Complete Hi-C clique	Precision	0.9866244975950451
41	Complete Hi-C clique	Recall	0.13039237882930738
41	Complete Hi-C clique	F1	0.23034265277083416
42	SGMCI	AUROC	0.8412097516326674
42	SGMCI	AUPRC	0.8372154243841443
42	SGMCI	Precision	0.628333016834039
42	SGMCI	Recall	0.979623469583239
42	SGMCI	F1	0.7656050088471484
42	Complete Hi-C clique	AUROC	0.5646783456540327
42	Complete Hi-C clique	AUPRC	0.5878376191707032
42	Complete Hi-C clique	Precision	0.9871005762179151
42	Complete Hi-C clique	Recall	0.13127187864644108
42	Complete Hi-C clique	F1	0.23172700023057413
43	SGMCI	AUROC	0.8401112013715352
43	SGMCI	AUPRC	0.8368204918450347
43	SGMCI	Precision	0.6286478966101032
43	SGMCI	Recall	0.9797366725299987
43	SGMCI	F1	0.765873299502061
43	Complete Hi-C clique	AUROC	0.563610403395421
43	Complete Hi-C clique	AUPRC	0.5867860712140214
43	Complete Hi-C clique	Precision	0.9861794019933555
43	Complete Hi-C clique	Recall	0.1292429335237465
43	Complete Hi-C clique	F1	0.22853535353535354
44	SGMCI	AUROC	0.8416256538965925
44	SGMCI	AUPRC	0.8379288999273258
44	SGMCI	Precision	0.6285714285714286
44	SGMCI	Recall	0.9793274003378672
44	SGMCI	F1	0.7656914875509773
